constructor_name,year,total_wins,total_podiums,total_points,total_races,avg_position,total_dnf,win_rate
Dunn,1959,0,0,0.0,1,13.0,0,0.0
EMW,1953,0,0,0.0,1,20.0,1,0.0
ENB,1962,0,0,0.0,1,16.0,1,0.0
ERA,1950,0,0,0.0,8,13.25,8,0.0
ERA,1951,0,0,0.0,2,9.5,2,0.0
ERA,1952,0,0,0.0,3,19.333333333333332,3,0.0
Eagle-Climax,1966,0,0,4.0,8,12.25,8,0.0
Eagle-Climax,1967,0,0,0.0,4,15.75,4,0.0
Eagle-Climax,1969,0,0,0.0,1,14.0,1,0.0
Eagle-Weslake,1966,0,0,0.0,3,16.666666666666668,3,0.0
Eagle-Weslake,1967,1,2,13.0,13,13.153846153846153,12,7.69
Eagle-Weslake,1968,0,0,0.0,5,12.8,4,0.0
Elder,1959,0,0,0.0,1,23.0,1,0.0
Embassy Hill,1975,0,0,3.0,19,13.947368421052632,16,0.0
Emeryson,1956,0,0,0.0,1,25.0,1,0.0
Emeryson,1961,0,0,0.0,5,27.0,5,0.0
Emeryson,1962,0,0,0.0,5,17.6,5,0.0
Ensign,1973,0,0,0.0,7,19.0,7,0.0
Ensign,1974,0,0,0.0,11,21.0,11,0.0
Ensign,1975,0,0,1.0,11,16.181818181818183,10,0.0
Ensign,1976,0,0,2.0,14,14.857142857142858,13,0.0
Ensign,1977,0,0,10.0,25,15.36,19,0.0
Ensign,1978,0,0,1.0,24,19.625,22,0.0
Ensign,1979,0,0,0.0,15,20.2,15,0.0
Ensign,1980,0,0,0.0,16,20.0,16,0.0
Ensign,1981,0,0,5.0,16,15.25,15,0.0
Ensign,1982,0,0,0.0,15,22.533333333333335,15,0.0
Epperly,1955,0,0,0.0,1,14.0,1,0.0
Epperly,1957,1,2,15.0,2,1.5,0,50.0
Epperly,1958,1,2,20.0,4,3.0,0,25.0
Epperly,1959,0,0,5.0,4,12.0,1,0.0
Epperly,1960,0,1,4.0,6,18.833333333333332,4,0.0
Euro Brun,1988,0,0,0.0,32,22.5625,32,0.0
Euro Brun,1989,0,0,0.0,16,34.6875,16,0.0
Euro Brun,1990,0,0,0.0,28,31.035714285714285,28,0.0
Ewing,1950,0,0,0.0,1,17.0,1,0.0
Ewing,1960,0,0,0.0,2,26.5,2,0.0
Ferguson,1961,0,0,0.0,2,19.0,2,0.0
Ferrari,1950,0,4,21.0,15,9.466666666666667,13,0.0
Ferrari,1951,3,13,86.0,33,7.636363636363637,20,9.09
Ferrari,1952,7,17,120.5,49,10.551020408163266,34,14.29
Ferrari,1953,7,16,122.5,48,7.916666666666667,32,14.58
Ferrari,1954,2,14,80.28,47,9.48936170212766,37,4.26
Ferrari,1955,1,9,33.99,31,8.096774193548388,24,3.23
Ferrari,1956,6,14,82.0,43,8.511627906976743,30,13.95
Ferrari,1957,0,7,48.0,32,7.09375,25,0.0
Ferrari,1958,2,14,93.0,34,7.470588235294118,17,5.88
Ferrari,1959,2,9,67.0,29,7.344827586206897,19,6.9
Ferrari,1960,1,5,43.0,25,7.36,20,4.0
Ferrari,1961,5,14,99.0,27,7.703703703703703,10,18.52
Ferrari,1962,0,4,30.0,21,9.80952380952381,12,0.0
Ferrari,1963,1,3,27.0,20,11.85,17,5.0
Ferrari,1964,3,10,64.0,22,7.545454545454546,13,13.64
Ferrari,1965,0,4,32.0,23,8.782608695652174,17,0.0
Ferrari,1966,2,6,42.0,16,7.875,10,12.5
Ferrari,1967,0,4,23.0,16,6.875,12,0.0
Ferrari,1968,1,5,37.0,24,10.625,19,4.17
Ferrari,1969,0,1,7.0,11,8.909090909090908,10,0.0
Ferrari,1970,4,9,76.0,25,7.96,15,16.0
Ferrari,1971,2,7,44.0,28,12.464285714285714,20,7.14
