raceId,driverId,total_stops,avg_stop_time,min_stop_time,total_pit_time
858,815,2,22.316,19.979,44.633
858,817,2,22.443,21.693,44.885
859,1,3,20.725,20.396,62.176
859,3,2,20.716,20.658,41.431
859,4,3,20.73,20.664,62.189
859,5,3,22.115,21.478,66.345
859,10,1,22.452,22.452,22.452
859,13,2,21.374,21.053,42.749
859,15,2,22.086,21.555,44.171
859,16,3,21.045,20.9,63.135
859,17,3,20.842,20.755,62.526
859,18,3,21.542,21.038,64.626
859,20,3,21.224,20.652,63.673
859,22,3,21.922,21.537,65.765
859,24,2,22.831,22.666,45.662
859,30,3,22.545,20.782,67.636
859,67,2,22.439,22.417,44.878
859,153,2,22.314,21.855,44.628
859,155,2,23.174,21.231,46.348
859,808,3,22.017,21.169,66.052
859,811,4,20.336,14.029,81.346
859,813,1,21.561,21.561,21.561
859,814,2,21.256,20.745,42.512
859,815,2,21.779,21.337,43.558
859,816,2,22.7,21.859,45.401
859,817,2,23.188,22.904,46.377
860,1,2,23.163,22.862,46.326
860,3,2,23.11,23.017,46.22
860,4,2,21.972,21.91,43.945
860,5,3,25.955,24.397,77.865
860,8,2,24.096,23.31,48.191
860,10,2,25.684,25.046,51.368
860,13,3,22.315,22.103,66.944
860,17,2,23.108,22.915,46.217
860,18,2,23.056,22.837,46.112
860,20,2,24.194,24.131,48.387
860,155,2,24.754,24.162,49.508
860,808,1,24.579,24.579,24.579
860,811,3,26.421,23.777,79.264
860,813,2,23.296,23.166,46.593
860,814,2,24.756,24.579,49.512
860,815,1,23.882,23.882,23.882
860,817,3,26.641,23.257,79.924
860,818,2,23.386,23.203,46.772
860,819,3,30.458,17.088,91.375
861,1,3,26.19,24.271,78.57
861,3,4,24.27,23.05,97.08
861,4,3,23.35,22.534,70.051
861,5,4,28.923,23.782,115.691
861,8,3,25.857,24.927,77.57
861,10,3,25.382,25.096,76.146
861,13,4,24.63,23.13,98.518
861,17,3,24.7,23.195,74.101
861,18,5,26.746,23.477,133.73
861,20,4,24.649,22.998,98.597
861,30,3,23.696,22.163,71.088
861,37,3,27.685,15.684,83.054
861,39,2,32.288,27.7,64.576
861,155,3,26.013,23.662,78.039
861,807,3,23.588,23.358,70.763
861,808,3,28.137,24.718,84.412
861,811,4,26.52,23.824,106.079
861,813,4,23.635,21.621,94.539
861,814,3,23.006,22.175,69.019
861,815,3,24.911,24.52,74.734
861,817,4,24.067,22.61,96.267
861,818,2,23.78,23.343,47.559
861,819,3,32.694,29.317,98.083
862,1,3,20.59,20.177,61.771
862,3,2,20.879,20.645,41.758
862,4,3,20.152,20.024,60.456
862,5,3,27.689,22.606,83.067
862,8,2,21.464,21.433,42.927
862,10,2,21.421,21.327,42.842
862,13,2,20.15,20.051,40.301
862,17,3,20.441,20.377,61.322
862,18,3,22.552,20.474,67.655
862,20,2,21.298,21.146,42.595
862,30,1,21.746,21.746,21.746
862,37,2,23.561,23.488,47.122
862,39,2,24.044,23.151,48.088
862,154,2,23.51,21.184,47.019
862,155,3,21.453,21.012,64.358
862,807,2,26.717,21.027,53.434
862,808,2,21.929,21.851,43.858
862,811,2,21.254,21.184,42.507
862,813,2,21.399,21.229,42.798
862,814,2,20.696,20.387,41.393
862,815,2,22.787,22.565,45.574
862,817,2,22.101,21.884,44.202
862,818,3,22.996,22.531,68.989
862,819,3,19.955,13.981,59.866
863,1,3,27.553,23.696,82.659
863,3,3,22.34,21.888,67.019
863,4,3,22.917,22.094,68.75
863,5,4,23.796,23.173,95.182
863,8,3,22.457,22.362,67.371
863,10,3,25.335,22.933,76.004
863,13,3,22.486,21.938,67.458
863,17,3,22.197,21.705,66.59
863,18,4,22.961,22.27,91.845
863,20,3,22.178,21.8,66.534
863,30,3,22.092,21.979,66.276
863,37,3,24.06,23.42,72.181
863,39,4,25.458,24.317,101.834
863,154,3,22.968,22.763,68.905
863,155,3,24.341,22.758,73.022
863,807,3,22.473,22.413,67.419
863,808,3,23.333,23.167,69.999
863,811,3,22.837,22.31,68.511
863,813,2,22.599,22.33,45.198
863,814,2,22.276,22.069,44.552
863,815,3,23.253,22.924,69.76
863,817,3,23.54,22.295,70.619
863,818,3,22.786,22.241,68.357
863,819,1,24.02,24.02,24.02
864,1,2,20.972,19.98,41.943
864,3,3,20.253,20.059,60.758
864,4,3,19.863,19.456,59.589
864,5,3,21.71,21.275,65.131
864,8,3,20.384,19.777,61.151
864,10,3,20.884,20.669,62.653
864,13,4,18.933,13.259,75.733
864,17,3,21.704,20.119,65.112
864,18,3,20.427,19.888,61.282
864,20,4,19.712,13.335,78.847
864,30,1,20.113,20.113,20.113
864,37,4,21.856,21.471,87.424
864,39,2,22.016,21.518,44.033
864,154,3,20.824,20.223,62.473
864,155,3,21.317,20.381,63.952
864,807,3,20.531,20.515,61.594
864,808,3,23.248,21.817,69.745
864,813,3,21.222,20.218,63.667
864,814,3,20.511,19.867,61.534
864,815,3,23.817,21.055,71.45
864,817,3,20.425,20.059,61.274
864,818,3,21.164,20.388,63.493
864,819,2,21.137,20.936,42.274
865,1,1,25.748,25.748,25.748
865,3,1,24.874,24.874,24.874
865,4,1,25.22,25.22,25.22
865,5,2,28.679,26.066,57.359
865,8,1,26.38,26.38,26.38
865,10,2,31.035,25.567,62.07
865,13,1,24.993,24.993,24.993
865,17,1,25.566,25.566,25.566
865,18,1,25.219,25.219,25.219
865,20,1,25.079,25.079,25.079
865,30,1,25.117,25.117,25.117
865,39,2,27.14,26.973,54.279
865,155,1,28.39,28.39,28.39
865,807,1,26.447,26.447,26.447
865,808,1,39.391,39.391,39.391
865,811,1,26.41,26.41,26.41
865,814,1,25.642,25.642,25.642
865,815,2,22.672,19.677,45.343
865,817,1,25.335,25.335,25.335
865,818,2,26.11,26.063,52.22
865,819,1,27.186,27.186,27.186
866,1,2,21.952,21.375,43.905
866,3,2,21.2,21.179,42.401
866,4,1,21.133,21.133,21.133
866,5,2,21.718,21.704,43.437
866,8,1,21.534,21.534,21.534
866,10,1,25.52,25.52,25.52
866,13,2,21.121,21.115,42.243
866,17,2,21.226,21.199,42.453
866,18,3,21.652,21.363,64.956
866,20,2,22.034,21.639,44.067
866,30,2,22.166,21.807,44.331
866,154,1,21.83,21.83,21.83
866,155,1,21.453,21.453,21.453
866,807,2,24.121,23.66,48.243
866,808,2,21.646,21.403,43.291
866,811,1,22.781,22.781,22.781
866,813,1,22.704,22.704,22.704
